,Country,Economic_status,Coastal_population,Waste_generation_rate_kg/person/day_All_Waste,%_Plastic_in_waste_stream,%_Inadequately_managed_waste,%_Littered_waste,Waste_generation_kg/day,Plastic_waste_generation_kg/day,Inadequately_managed_plastic_waste_kg/day,Plastic_waste_littered_[kg/day],Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes,Lat,Lng
53,Eritrea,LI,1266222.0,0.5,9.0,77.0,2.0,633111.0,56663.0,43411.0,1133.0,0.04,16259.0,43484.0,15.179384,39.782334
54,Estonia,HIC,878021.0,1.47,12.0,9.0,2.0,1290691.0,154238.0,13296.0,3085.0,0.02,5979.0,8367.0,58.595272,25.0136071
55,Falkland Islands,HIC,2602.0,2.1,12.0,0.0,2.0,5464.0,653.0,0.0,13.0,0.01,5.0,7.0,-51.796253,-59.523613
56,Faroe Islands,HIC,50554.0,2.1,12.0,0.0,2.0,106163.0,12687.0,0.0,254.0,0.01,93.0,131.0,61.89263500000001,-6.9118061
57,Fiji,UMI,896145.0,2.1,9.0,78.0,2.0,1881905.0,168430.0,131582.0,3369.0,0.15,49257.0,70995.0,-17.713371,178.065032
58,Finland,HIC,2927674.0,2.13,11.0,0.0,2.0,6235946.0,682836.0,0.0,13657.0,0.01,4985.0,6422.0,61.92410999999999,25.7481511
59,France,HIC,17287280.0,1.92,10.0,0.0,2.0,33191578.0,3302562.0,0.0,66051.0,0.00,24109.0,34671.0,46.227638,2.213749
60,French Guiana,UMI,167631.0,1.2,12.0,25.0,2.0,201157.0,24038.0,5986.0,481.0,0.04,2360.0,5577.0,3.933889,-53.125782
61,French Polynesia,HIC,270618.0,2.1,12.0,3.0,2.0,568298.0,67912.0,2165.0,1358.0,0.01,1286.0,1824.0,-17.679742,-149.406843
62,Gabon,UMI,862328.0,0.45,12.0,34.0,2.0,388048.0,46372.0,15750.0,927.0,0.02,6087.0,15446.0,-0.803689,11.609444
63,Georgia,LMI,1124249.0,1.69,4.0,51.0,2.0,1899981.0,75049.0,38149.0,1501.0,0.04,14472.0,24532.0,32.1656221,-82.9000751
64,Germany,HIC,8837035.0,2.11,23.0,0.0,2.0,18646144.0,4279290.0,0.0,85586.0,0.01,31239.0,33317.0,51.165691,10.451526
65,Ghana,LMI,7727702.0,0.79,5.0,81.0,2.0,6104885.0,302192.0,244835.0,6044.0,0.03,91571.0,325116.0,7.946527,-1.023194
66,Gibraltar,HIC,33483.0,2.1,12.0,0.0,2.0,70314.0,8403.0,9.0,168.0,0.01,65.0,92.0,36.140751,-5.353585
67,Greece,HIC,9794702.0,2.0,10.0,0.0,2.0,19589404.0,1949146.0,0.0,38983.0,0.00,14229.0,18621.0,39.074208,21.824312
68,Greenland,HIC,57068.0,2.1,12.0,0.0,2.0,119843.0,14321.0,0.0,286.0,0.01,105.0,148.0,71.706936,-42.604303
69,Grenada,UMI,96121.0,2.71,12.0,18.0,2.0,260488.0,31128.0,5536.0,623.0,0.06,2248.0,2452.0,12.1165,-61.67899999999999
70,Guadeloupe,UMI,466166.0,1.2,12.0,25.0,2.0,559399.0,66848.0,16646.0,1337.0,0.04,6564.0,11502.0,16.265,-61.55099999999999
71,Guam,HIC,190809.0,2.1,12.0,0.0,2.0,400699.0,47884.0,118.0,958.0,0.01,393.0,574.0,13.444304,144.793731
72,Guatemala,LMI,2392442.0,2.0,14.0,36.0,2.0,4784884.0,667491.0,237508.0,13350.0,0.11,91563.0,157698.0,15.783471,-90.23075899999999
73,Guernsey,HIC,56289.0,2.1,12.0,0.0,2.0,118207.0,14126.0,0.0,283.0,0.01,103.0,146.0,49.4481982,-2.58949
74,Guinea,LI,1996496.0,0.6,5.0,84.0,2.0,1197898.0,59296.0,49538.0,1186.0,0.03,18514.0,59889.0,9.945587,-9.696645
75,Guinea-Bissau,LI,1208106.0,0.6,9.0,83.0,2.0,724864.0,64875.0,54156.0,1298.0,0.05,20240.0,51947.0,11.803749,-15.180413
76,Guyana,LMI,513235.0,5.33,11.0,36.0,2.0,2735543.0,299542.0,109084.0,5991.0,0.22,42002.0,36103.0,4.860416,-58.93018
77,Haiti,LI,9155693.0,1.0,9.0,47.0,2.0,9155693.0,819435.0,387416.0,16389.0,0.04,147389.0,324178.0,18.971187,-72.285215
78,Honduras,LMI,3324144.0,1.45,13.0,40.0,2.0,4820009.0,624191.0,249539.0,12484.0,0.08,95638.0,189169.0,15.199999,-86.241905
79,Hong Kong,HIC,7573074.0,1.99,20.0,1.0,2.0,15070417.0,3006548.0,17983.0,60131.0,0.01,28512.0,37606.0,22.3193039,114.1693611
80,Iceland,HIC,292708.0,1.56,18.0,0.0,2.0,456624.0,81964.0,0.0,1639.0,0.01,598.0,883.0,64.963051,-19.020835
81,India,LMI,187493433.0,0.34,3.0,85.0,2.0,63747767.0,1880559.0,1605729.0,37611.0,0.01,599819.0,2881294.0,20.593684,78.96288
82,Indonesia,LMI,187223476.0,0.52,11.0,81.0,2.0,97356208.0,10660505.0,8600093.0,213210.0,0.05,3216856.0,7415202.0,-0.789275,113.921327
83,Iran,UMI,9099695.0,1.2,12.0,50.0,2.0,10919634.0,1304896.0,651717.0,26098.0,0.07,247403.0,460067.0,32.427908,53.688046
84,Iraq,LMI,639228.0,0.79,13.0,63.0,2.0,504990.0,65396.0,41330.0,1308.0,0.07,15563.0,47694.0,33.223191,43.679291
85,Ireland,HIC,3749576.0,3.58,12.0,0.0,2.0,13423482.0,1604106.0,0.0,32082.0,0.01,11710.0,14045.0,53.1423672,-7.692053599999999
86,Isle of Man,HIC,81222.0,2.1,12.0,0.0,2.0,170566.0,20383.0,0.0,408.0,0.01,149.0,210.0,54.236107,-4.548056
87,Israel,HIC,6677810.0,2.12,14.0,1.0,2.0,14156957.0,1974896.0,12577.0,39498.0,0.01,19007.0,28211.0,31.046051,34.851612
88,Italy,HIC,33822532.0,2.23,6.0,0.0,2.0,75424246.0,4487743.0,0.0,89755.0,0.00,32761.0,45058.0,41.87194,12.56738
89,Jamaica,UMI,2820558.0,0.18,19.0,27.0,2.0,507700.0,96209.0,25525.0,1924.0,0.01,10019.0,59575.0,18.109581,-77.297508
90,Japan,HIC,115228891.0,1.71,10.0,0.0,2.0,197041404.0,19605620.0,0.0,392112.0,0.00,143121.0,177241.0,36.204824,138.252924
91,Jersey,HIC,90076.0,2.1,12.0,0.0,2.0,189160.0,22605.0,0.0,452.0,0.01,165.0,233.0,49.214439,-2.13125
92,Jordan,UMI,55392.0,1.2,12.0,58.0,2.0,66470.0,7943.0,4600.0,159.0,0.09,1737.0,2975.0,30.585164,36.238414
93,Kenya,LI,2729945.0,0.3,9.0,83.0,2.0,818984.0,73299.0,60610.0,1466.0,0.02,22658.0,87109.0,-0.023559,37.906193
94,Kiribati,LMI,94487.0,0.79,13.0,84.0,2.0,74645.0,9666.0,8148.0,193.0,0.09,3045.0,6977.0,-3.370417,-168.734039
95,"Korea, North",LI,17327483.0,0.6,9.0,88.0,2.0,10396490.0,930486.0,815165.0,18610.0,0.05,304328.0,610607.0,40.339852,127.510093
96,"Korea, South (Republic of Korea)",HIC,41654619.0,1.24,9.0,0.0,2.0,51651728.0,4622830.0,0.0,92457.0,0.00,33747.0,52764.0,35.907757,127.766922
97,Kuwait,HIC,2293604.0,5.72,12.0,0.0,2.0,13119415.0,1567770.0,122.0,31355.0,0.01,11489.0,13479.0,29.31166,47.481766
98,Latvia,UMI,1432078.0,1.03,12.0,14.0,2.0,1475040.0,176267.0,24651.0,3525.0,0.02,10284.0,16654.0,56.879635,24.603189
99,Lebanon,UMI,3890871.0,1.18,8.0,34.0,2.0,4591228.0,365003.0,123700.0,7300.0,0.03,47815.0,101852.0,33.854721,35.862285
100,Liberia,LI,2148271.0,0.6,14.0,84.0,2.0,1288963.0,179810.0,151822.0,3596.0,0.07,56728.0,142787.0,6.428055,-9.429499000000002
101,Libya,UMI,4050128.0,1.2,12.0,23.0,2.0,4860154.0,580788.0,132985.0,11616.0,0.04,52779.0,102577.0,26.3351,17.228331
102,Lithuania,UMI,443894.0,1.1,12.0,14.0,2.0,488283.0,58350.0,8364.0,1167.0,0.02,3479.0,5478.0,55.169438,23.881275
103,Macao,HIC,257911.0,1.47,25.0,0.0,2.0,379129.0,94593.0,22.0,1892.0,0.01,698.0,1146.0,22.198745,113.543873
104,Madagascar,LI,7062413.0,0.8,2.0,84.0,2.0,5649930.0,110174.0,92377.0,2203.0,0.01,34522.0,177625.0,-18.766947,46.869107
105,Malaysia,UMI,22890252.0,1.52,13.0,55.0,2.0,34793183.0,4505717.0,2476510.0,90114.0,0.11,936818.0,1765977.0,4.210484,101.975766
106,Maldives,LMI,392567.0,2.48,13.0,66.0,2.0,973566.0,126077.0,83695.0,2522.0,0.22,31469.0,40143.0,3.202778,73.22068
107,Malta,HIC,404707.0,1.78,12.0,6.0,2.0,720378.0,86085.0,5456.0,1722.0,0.02,2620.0,3757.0,35.937496,14.375416
108,Marshall Islands,UMI,58086.0,1.2,16.0,77.0,2.0,69703.0,11118.0,8510.0,222.0,0.15,3187.0,5717.0,7.131474,171.184478
109,Martinique,HIC,402257.0,2.1,12.0,0.0,2.0,844740.0,100946.0,33.0,2019.0,0.01,749.0,955.0,14.641528,-61.024174
110,Mauritania,LI,1005481.0,0.5,9.0,82.0,2.0,502741.0,44995.0,37056.0,900.0,0.04,13854.0,39754.0,21.00789,-10.940835
111,Mauritius,UMI,1255952.0,2.3,10.0,51.0,2.0,2888690.0,287425.0,147817.0,5748.0,0.12,56051.0,73172.0,-20.348404,57.55215200000001
112,Mexico,UMI,22647771.0,1.24,7.0,12.0,2.0,28083236.0,1951785.0,238616.0,39036.0,0.01,101343.0,233393.0,23.634501,-102.552784
113,Micronesia,LMI,154895.0,0.79,13.0,81.0,2.0,122367.0,15847.0,12818.0,317.0,0.09,4794.0,10699.0,7.425554,150.550812
