Country,Economic_status,Coastal_population,Waste_generation_rate_kg/person/day_All_Waste,%_Plastic_in_waste_stream,%_Inadequately_managed_waste,%_Littered_waste,Waste_generation_kg/day,Plastic_waste_generation_kg/day,Inadequately_managed_plastic_waste_kg/day,Plastic_waste_littered_[kg/day],Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes
Ukraine,LMI,6812799.00,0.79,13.00,49.00,2.00,5382111.00,696983.00,338841.00,13940.00,0.05,128765.00,233388.00
United Arab Emirates,HIC,2018302.00,1.66,12.00,0.00,2.00,3350381.00,400371.00,256.00,8007.00,0.00,3016.00,5910.00
United Kingdom,HIC,43258889.00,1.79,12.00,0.00,2.00,77433411.00,9253293.00,0.00,185066.00,0.00,67549.00,94165.00
United States,HIC,112925034.00,2.58,13.00,0.00,2.00,291346588.00,37729383.00,0.00,754588.00,0.01,275424.00,336819.00
Uruguay,HIC,2433597.00,2.10,12.00,8.00,2.00,5110554.00,610711.00,46861.00,12214.00,0.02,21562.00,8037.00
USVI,HIC,134219.00,2.10,12.00,0.00,2.00,281860.00,33682.00,11.00,674.00,0.01,250.00,296.00
Vanuatu,LMI,251851.00,3.28,9.00,81.00,2.00,826071.00,73933.00,60104.00,1479.00,0.25,22478.00,38006.00
Venezuela,HIC,16094897.00,2.10,12.00,5.00,2.00,33799284.00,4039014.00,199585.00,80780.00,0.02,102333.00,154243.00
Vietnam,LMI,55858245.00,0.79,13.00,86.00,2.00,44128014.00,5714578.00,4909870.00,114292.00,0.09,1833819.00,4172828.00
Yemen,LMI,6048920.00,0.79,13.00,73.00,2.00,4778647.00,618835.00,451134.00,12377.00,0.08,169181.00,513907.00
,,,,,,,,,,,Total,31865274.00,69143290.00
,Notes:,,,,,,,,,,,,
,1 - Based upon 2010 Gross National Income,,,,,,,,,,,,
,2 - Based upon a 50 km coastal buffer created in GIS with global population densities24,,,,,,,,,,,,
,"3 - Bold data were taken directly from World Bank estimates6,21",,,,,,,,,,,,
,"4 - Bold data were taken directly from World Bank estimates6,21 ",,,,,,,,,,,,
,5 - Using a model developed for this study (see Supplemental Information),,,,,,,,,,,,
,6 - From U.S. national litter study22,,,,,,,,,,,,
,7 - Calculated values,,,,,,,,,,,,
,8 - Economic status changed from 2005 to 20106; waste generation rate and %plastic were assigned using average values for the 2010 economic category ,,,,,,,,,,,,
