Classification,Year,Period,Period_desc.,Aggregate Level,Trade_flow,Reporter_code,Reporter,Reporter_ISO,Partner_code,Commodity_code,Commodity,Qty_unit_code,Qty_unit,Qty,Alt_qty_unit,Netweight_kg,Trade_value_usd
H5,2018,2018,2018,6,Import,152,Chile,CHL,0,391510,"Ethylene polymers; waste, parings and scrap",1,No Quantity,,0,1487062,1280073
H5,2018,2018,2018,6,Export,152,Chile,CHL,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,5406754,5406754,1868643
H5,2018,2018,2018,6,Import,152,Chile,CHL,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,1,1,201
H5,2018,2018,2018,6,Export,152,Chile,CHL,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,784850,784850,491013
H5,2018,2018,2018,6,Export,152,Chile,CHL,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,19480,19480,531
H5,2018,2018,2018,6,Import,152,Chile,CHL,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,6259409,6259409,5358279
H5,2018,2018,2018,6,Export,152,Chile,CHL,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,2890944,2890944,956999
H5,2018,2018,2018,4,Import,170,Colombia,COL,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,8209967,8209967,1553112
H5,2018,2018,2018,4,Export,170,Colombia,COL,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,2592857,2592857,1008547
H5,2018,2018,2018,6,Import,170,Colombia,COL,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,4614886,4614886,539727
H5,2018,2018,2018,6,Export,170,Colombia,COL,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,1206442,1206442,241622
H5,2018,2018,2018,6,Import,170,Colombia,COL,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,529766,529766,336785
H5,2018,2018,2018,6,Export,170,Colombia,COL,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,396865,396865,326539
H5,2018,2018,2018,6,Import,170,Colombia,COL,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,1325548,1325548,211189
H5,2018,2018,2018,6,Export,170,Colombia,COL,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,70860,70860,52681
H5,2018,2018,2018,6,Import,170,Colombia,COL,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,1739766,1739766,465409
H5,2018,2018,2018,6,Export,170,Colombia,COL,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,918689,918689,387703
